,receps,object,scores
71,Potato,AlarmClock,1
72,PotatoSliced,AlarmClock,1
73,RemoteControl,AlarmClock,1
74,SaltShaker,AlarmClock,1
75,ScrubBrush,AlarmClock,1
76,ShowerDoor,AlarmClock,1
77,SoapBar,AlarmClock,1
78,SoapBottle,AlarmClock,1
79,Spatula,AlarmClock,1
80,Spoon,AlarmClock,1
81,SprayBottle,AlarmClock,1
82,Statue,AlarmClock,1
83,StoveKnob,AlarmClock,1
84,TeddyBear,AlarmClock,1
85,Television,AlarmClock,1
86,TennisRacket,AlarmClock,1
87,TissueBox,AlarmClock,1
88,ToiletPaper,AlarmClock,1
89,ToiletPaperHanger,AlarmClock,1
90,ToiletPaperRoll,AlarmClock,1
91,Tomato,AlarmClock,1
92,TomatoSliced,AlarmClock,1
93,Towel,AlarmClock,1
94,Vase,AlarmClock,1
95,Watch,AlarmClock,1
96,WateringCan,AlarmClock,1
97,WineBottle,AlarmClock,1
98,ArmChair,Apple,1
99,BathtubBasin,Apple,1
100,Bed,Apple,1
101,Cabinet,Apple,1
102,Cart,Apple,1
103,CoffeeMachine,Apple,1
104,CoffeeTable,Apple,1
105,CounterTop,Apple,1
106,Desk,Apple,1
107,DiningTable,Apple,1
108,Drawer,Apple,1
109,Dresser,Apple,1
110,Fridge,Apple,1
111,GarbageCan,Apple,1
112,Microwave,Apple,1
113,Ottoman,Apple,1
114,Safe,Apple,1
115,Shelf,Apple,1
116,SideTable,Apple,1
117,SinkBasin,Apple,1
118,Sofa,Apple,1
119,StoveBurner,Apple,1
120,TVStand,Apple,1
121,Toilet,Apple,1
122,AlarmClock,Apple,1
123,Apple,Apple,1
124,AppleSliced,Apple,1
125,BaseballBat,Apple,1
126,BasketBall,Apple,1
127,Book,Apple,1
128,Bowl,Apple,1
129,Box,Apple,1
130,Bread,Apple,1
131,BreadSliced,Apple,1
132,ButterKnife,Apple,1
133,CD,Apple,1
134,Candle,Apple,1
135,CellPhone,Apple,1
136,Cloth,Apple,1
137,CreditCard,Apple,1
138,Cup,Apple,1
139,DeskLamp,Apple,1
140,DishSponge,Apple,1
141,Egg,Apple,1
142,Faucet,Apple,1
143,FloorLamp,Apple,1
144,Fork,Apple,1
145,Glassbottle,Apple,1
146,HandTowel,Apple,1
147,HousePlant,Apple,1
148,Kettle,Apple,1
149,KeyChain,Apple,1
150,Knife,Apple,1
151,Ladle,Apple,1
152,Laptop,Apple,1
153,LaundryHamperLid,Apple,1
154,Lettuce,Apple,1
155,LettuceSliced,Apple,1
156,LightSwitch,Apple,1
157,Mug,Apple,1
158,Newspaper,Apple,1
159,Pan,Apple,1
160,PaperTowel,Apple,1
161,PaperTowelRoll,Apple,1
162,Pen,Apple,1
163,Pencil,Apple,1
164,PepperShaker,Apple,1
165,Pillow,Apple,1
166,Plate,Apple,1
167,Plunger,Apple,1
168,Pot,Apple,1
169,Potato,Apple,1
170,PotatoSliced,Apple,1
171,RemoteControl,Apple,1
172,SaltShaker,Apple,1
173,ScrubBrush,Apple,1
174,ShowerDoor,Apple,1
175,SoapBar,Apple,1
176,SoapBottle,Apple,1
177,Spatula,Apple,1
178,Spoon,Apple,1
179,SprayBottle,Apple,1
180,Statue,Apple,1
181,StoveKnob,Apple,1
182,TeddyBear,Apple,1
183,Television,Apple,1
184,TennisRacket,Apple,1
185,TissueBox,Apple,1
186,ToiletPaper,Apple,1
187,ToiletPaperHanger,Apple,1
188,ToiletPaperRoll,Apple,1
189,Tomato,Apple,1
190,TomatoSliced,Apple,1
191,Towel,Apple,1
192,Vase,Apple,1
193,Watch,Apple,1
194,WateringCan,Apple,1
195,WineBottle,Apple,1
196,ArmChair,AppleSliced,1
197,BathtubBasin,AppleSliced,1
198,Bed,AppleSliced,1
199,Cabinet,AppleSliced,1
200,Cart,AppleSliced,1
201,CoffeeMachine,AppleSliced,1
202,CoffeeTable,AppleSliced,1
203,CounterTop,AppleSliced,1
204,Desk,AppleSliced,1
205,DiningTable,AppleSliced,1
206,Drawer,AppleSliced,1
207,Dresser,AppleSliced,1
208,Fridge,AppleSliced,1
209,GarbageCan,AppleSliced,1
210,Microwave,AppleSliced,1
211,Ottoman,AppleSliced,1
212,Safe,AppleSliced,1
213,Shelf,AppleSliced,1
214,SideTable,AppleSliced,1
215,SinkBasin,AppleSliced,1
216,Sofa,AppleSliced,1
217,StoveBurner,AppleSliced,1
218,TVStand,AppleSliced,1
219,Toilet,AppleSliced,1
220,AlarmClock,AppleSliced,1
221,Apple,AppleSliced,1
222,AppleSliced,AppleSliced,1
223,BaseballBat,AppleSliced,1
224,BasketBall,AppleSliced,1
225,Book,AppleSliced,1
226,Bowl,AppleSliced,1
227,Box,AppleSliced,1
228,Bread,AppleSliced,1
229,BreadSliced,AppleSliced,1
230,ButterKnife,AppleSliced,1
231,CD,AppleSliced,1
232,Candle,AppleSliced,1
233,CellPhone,AppleSliced,1
234,Cloth,AppleSliced,1
235,CreditCard,AppleSliced,1
236,Cup,AppleSliced,1
237,DeskLamp,AppleSliced,1
238,DishSponge,AppleSliced,1
239,Egg,AppleSliced,1
240,Faucet,AppleSliced,1
241,FloorLamp,AppleSliced,1
242,Fork,AppleSliced,1
243,Glassbottle,AppleSliced,1
244,HandTowel,AppleSliced,1
245,HousePlant,AppleSliced,1
246,Kettle,AppleSliced,1
247,KeyChain,AppleSliced,1
248,Knife,AppleSliced,1
249,Ladle,AppleSliced,1
250,Laptop,AppleSliced,1
251,LaundryHamperLid,AppleSliced,1
252,Lettuce,AppleSliced,1
253,LettuceSliced,AppleSliced,1
254,LightSwitch,AppleSliced,1
255,Mug,AppleSliced,1
256,Newspaper,AppleSliced,1
257,Pan,AppleSliced,1
258,PaperTowel,AppleSliced,1
259,PaperTowelRoll,AppleSliced,1
260,Pen,AppleSliced,1
261,Pencil,AppleSliced,1
262,PepperShaker,AppleSliced,1
263,Pillow,AppleSliced,1
264,Plate,AppleSliced,1
265,Plunger,AppleSliced,1
266,Pot,AppleSliced,1
267,Potato,AppleSliced,1
268,PotatoSliced,AppleSliced,1
269,RemoteControl,AppleSliced,1
270,SaltShaker,AppleSliced,1
271,ScrubBrush,AppleSliced,1
272,ShowerDoor,AppleSliced,1
273,SoapBar,AppleSliced,1
274,SoapBottle,AppleSliced,1
275,Spatula,AppleSliced,1
276,Spoon,AppleSliced,1
277,SprayBottle,AppleSliced,1
278,Statue,AppleSliced,1
279,StoveKnob,AppleSliced,1
280,TeddyBear,AppleSliced,1
281,Television,AppleSliced,1
282,TennisRacket,AppleSliced,1
283,TissueBox,AppleSliced,1
284,ToiletPaper,AppleSliced,1
285,ToiletPaperHanger,AppleSliced,1
286,ToiletPaperRoll,AppleSliced,1
287,Tomato,AppleSliced,1
288,TomatoSliced,AppleSliced,1
289,Towel,AppleSliced,1
290,Vase,AppleSliced,1
291,Watch,AppleSliced,1
292,WateringCan,AppleSliced,1
293,WineBottle,AppleSliced,1
294,ArmChair,BaseballBat,1
295,BathtubBasin,BaseballBat,1
296,Bed,BaseballBat,1
297,Cabinet,BaseballBat,1
298,Cart,BaseballBat,1
299,CoffeeMachine,BaseballBat,1
300,CoffeeTable,BaseballBat,1
301,CounterTop,BaseballBat,1
302,Desk,BaseballBat,1
303,DiningTable,BaseballBat,1
304,Drawer,BaseballBat,1
305,Dresser,BaseballBat,1
306,Fridge,BaseballBat,1
307,GarbageCan,BaseballBat,1
308,Microwave,BaseballBat,1
309,Ottoman,BaseballBat,1
310,Safe,BaseballBat,1
311,Shelf,BaseballBat,1
312,SideTable,BaseballBat,1
313,SinkBasin,BaseballBat,1
314,Sofa,BaseballBat,1
315,StoveBurner,BaseballBat,1
316,TVStand,BaseballBat,1
317,Toilet,BaseballBat,1
318,AlarmClock,BaseballBat,1
319,Apple,BaseballBat,1
320,AppleSliced,BaseballBat,1
321,BaseballBat,BaseballBat,1
322,BasketBall,BaseballBat,1
323,Book,BaseballBat,1
324,Bowl,BaseballBat,1
325,Box,BaseballBat,1
326,Bread,BaseballBat,1
327,BreadSliced,BaseballBat,1
328,ButterKnife,BaseballBat,1
329,CD,BaseballBat,1
330,Candle,BaseballBat,1
331,CellPhone,BaseballBat,1
332,Cloth,BaseballBat,1
333,CreditCard,BaseballBat,1
334,Cup,BaseballBat,1
335,DeskLamp,BaseballBat,1
336,DishSponge,BaseballBat,1
337,Egg,BaseballBat,1
338,Faucet,BaseballBat,1
339,FloorLamp,BaseballBat,1
340,Fork,BaseballBat,1
341,Glassbottle,BaseballBat,1
342,HandTowel,BaseballBat,1
343,HousePlant,BaseballBat,1
344,Kettle,BaseballBat,1
345,KeyChain,BaseballBat,1
346,Knife,BaseballBat,1
347,Ladle,BaseballBat,1
348,Laptop,BaseballBat,1
349,LaundryHamperLid,BaseballBat,1
350,Lettuce,BaseballBat,1
351,LettuceSliced,BaseballBat,1
352,LightSwitch,BaseballBat,1
353,Mug,BaseballBat,1
354,Newspaper,BaseballBat,1
355,Pan,BaseballBat,1
356,PaperTowel,BaseballBat,1
357,PaperTowelRoll,BaseballBat,1
358,Pen,BaseballBat,1
359,Pencil,BaseballBat,1
360,PepperShaker,BaseballBat,1
361,Pillow,BaseballBat,1
362,Plate,BaseballBat,1
363,Plunger,BaseballBat,1
364,Pot,BaseballBat,1
365,Potato,BaseballBat,1
366,PotatoSliced,BaseballBat,1
367,RemoteControl,BaseballBat,1
368,SaltShaker,BaseballBat,1
369,ScrubBrush,BaseballBat,1
370,ShowerDoor,BaseballBat,1
371,SoapBar,BaseballBat,1
372,SoapBottle,BaseballBat,1
373,Spatula,BaseballBat,1
374,Spoon,BaseballBat,1
375,SprayBottle,BaseballBat,1
376,Statue,BaseballBat,1
377,StoveKnob,BaseballBat,1
378,TeddyBear,BaseballBat,1
379,Television,BaseballBat,1
380,TennisRacket,BaseballBat,1
381,TissueBox,BaseballBat,1
382,ToiletPaper,BaseballBat,1
383,ToiletPaperHanger,BaseballBat,1
384,ToiletPaperRoll,BaseballBat,1
385,Tomato,BaseballBat,1
386,TomatoSliced,BaseballBat,1
387,Towel,BaseballBat,1
388,Vase,BaseballBat,1
389,Watch,BaseballBat,1
390,WateringCan,BaseballBat,1
391,WineBottle,BaseballBat,1
392,ArmChair,BasketBall,1
393,BathtubBasin,BasketBall,1
394,Bed,BasketBall,1
395,Cabinet,BasketBall,1
396,Cart,BasketBall,1
397,CoffeeMachine,BasketBall,1
398,CoffeeTable,BasketBall,1
399,CounterTop,BasketBall,1
400,Desk,BasketBall,1
401,DiningTable,BasketBall,1
402,Drawer,BasketBall,1
403,Dresser,BasketBall,1
404,Fridge,BasketBall,1
405,GarbageCan,BasketBall,1
406,Microwave,BasketBall,1
407,Ottoman,BasketBall,1
408,Safe,BasketBall,1
409,Shelf,BasketBall,1
410,SideTable,BasketBall,1
411,SinkBasin,BasketBall,1
412,Sofa,BasketBall,1
413,StoveBurner,BasketBall,1
414,TVStand,BasketBall,1
415,Toilet,BasketBall,1
416,AlarmClock,BasketBall,1
417,Apple,BasketBall,1
418,AppleSliced,BasketBall,1
419,BaseballBat,BasketBall,1
420,BasketBall,BasketBall,1
421,Book,BasketBall,1
422,Bowl,BasketBall,1
423,Box,BasketBall,1
424,Bread,BasketBall,1
425,BreadSliced,BasketBall,1
426,ButterKnife,BasketBall,1
427,CD,BasketBall,1
428,Candle,BasketBall,1
429,CellPhone,BasketBall,1
430,Cloth,BasketBall,1
431,CreditCard,BasketBall,1
432,Cup,BasketBall,1
433,DeskLamp,BasketBall,1
434,DishSponge,BasketBall,1
435,Egg,BasketBall,1
436,Faucet,BasketBall,1
437,FloorLamp,BasketBall,1
438,Fork,BasketBall,1
439,Glassbottle,BasketBall,1
440,HandTowel,BasketBall,1
441,HousePlant,BasketBall,1
442,Kettle,BasketBall,1
443,KeyChain,BasketBall,1
444,Knife,BasketBall,1
445,Ladle,BasketBall,1
446,Laptop,BasketBall,1
447,LaundryHamperLid,BasketBall,1
448,Lettuce,BasketBall,1
449,LettuceSliced,BasketBall,1
450,LightSwitch,BasketBall,1
451,Mug,BasketBall,1
452,Newspaper,BasketBall,1
453,Pan,BasketBall,1
454,PaperTowel,BasketBall,1
455,PaperTowelRoll,BasketBall,1
456,Pen,BasketBall,1
457,Pencil,BasketBall,1
458,PepperShaker,BasketBall,1
459,Pillow,BasketBall,1
460,Plate,BasketBall,1
461,Plunger,BasketBall,1
462,Pot,BasketBall,1
463,Potato,BasketBall,1
464,PotatoSliced,BasketBall,1
465,RemoteControl,BasketBall,1
466,SaltShaker,BasketBall,1
467,ScrubBrush,BasketBall,1
468,ShowerDoor,BasketBall,1
469,SoapBar,BasketBall,1
470,SoapBottle,BasketBall,1
471,Spatula,BasketBall,1
472,Spoon,BasketBall,1
473,SprayBottle,BasketBall,1
474,Statue,BasketBall,1
475,StoveKnob,BasketBall,1
476,TeddyBear,BasketBall,1
477,Television,BasketBall,1
478,TennisRacket,BasketBall,1
479,TissueBox,BasketBall,1
480,ToiletPaper,BasketBall,1
481,ToiletPaperHanger,BasketBall,1
482,ToiletPaperRoll,BasketBall,1
483,Tomato,BasketBall,1
484,TomatoSliced,BasketBall,1
485,Towel,BasketBall,1
486,Vase,BasketBall,1
487,Watch,BasketBall,1
488,WateringCan,BasketBall,1
489,WineBottle,BasketBall,1
490,ArmChair,Book,1
491,BathtubBasin,Book,1
492,Bed,Book,1
493,Cabinet,Book,1
494,Cart,Book,1
495,CoffeeMachine,Book,1
496,CoffeeTable,Book,1
497,CounterTop,Book,1
498,Desk,Book,1
499,DiningTable,Book,1
500,Drawer,Book,1
501,Dresser,Book,1
502,Fridge,Book,1
503,GarbageCan,Book,1
504,Microwave,Book,1
505,Ottoman,Book,1
506,Safe,Book,1
507,Shelf,Book,1
508,SideTable,Book,1
509,SinkBasin,Book,1
510,Sofa,Book,1
511,StoveBurner,Book,1
512,TVStand,Book,1
513,Toilet,Book,1
514,AlarmClock,Book,1
515,Apple,Book,1
516,AppleSliced,Book,1
517,BaseballBat,Book,1
518,BasketBall,Book,1
519,Book,Book,1
520,Bowl,Book,1
521,Box,Book,1
522,Bread,Book,1
523,BreadSliced,Book,1
524,ButterKnife,Book,1
525,CD,Book,1
526,Candle,Book,1
527,CellPhone,Book,1
528,Cloth,Book,1
529,CreditCard,Book,1
530,Cup,Book,1
531,DeskLamp,Book,1
532,DishSponge,Book,1
533,Egg,Book,1
534,Faucet,Book,1
535,FloorLamp,Book,1
536,Fork,Book,1
537,Glassbottle,Book,1
538,HandTowel,Book,1
539,HousePlant,Book,1
540,Kettle,Book,1
541,KeyChain,Book,1
542,Knife,Book,1
543,Ladle,Book,1
544,Laptop,Book,1
545,LaundryHamperLid,Book,1
546,Lettuce,Book,1
547,LettuceSliced,Book,1
548,LightSwitch,Book,1
549,Mug,Book,1
550,Newspaper,Book,1
551,Pan,Book,1
552,PaperTowel,Book,1
553,PaperTowelRoll,Book,1
554,Pen,Book,1
555,Pencil,Book,1
556,PepperShaker,Book,1
557,Pillow,Book,1
558,Plate,Book,1
559,Plunger,Book,1
560,Pot,Book,1
561,Potato,Book,1
562,PotatoSliced,Book,1
563,RemoteControl,Book,1
564,SaltShaker,Book,1
565,ScrubBrush,Book,1
566,ShowerDoor,Book,1
567,SoapBar,Book,1
568,SoapBottle,Book,1
569,Spatula,Book,1
570,Spoon,Book,1
571,SprayBottle,Book,1
572,Statue,Book,1
573,StoveKnob,Book,1
574,TeddyBear,Book,1
575,Television,Book,1
576,TennisRacket,Book,1
577,TissueBox,Book,1
578,ToiletPaper,Book,1
579,ToiletPaperHanger,Book,1
580,ToiletPaperRoll,Book,1
581,Tomato,Book,1
582,TomatoSliced,Book,1
583,Towel,Book,1
584,Vase,Book,1
585,Watch,Book,1
586,WateringCan,Book,1
587,WineBottle,Book,1
588,ArmChair,Bowl,1
589,BathtubBasin,Bowl,1
590,Bed,Bowl,1
591,Cabinet,Bowl,1
592,Cart,Bowl,1
593,CoffeeMachine,Bowl,1
594,CoffeeTable,Bowl,1
595,CounterTop,Bowl,1
596,Desk,Bowl,1
597,DiningTable,Bowl,1
598,Drawer,Bowl,1
599,Dresser,Bowl,1
600,Fridge,Bowl,1
601,GarbageCan,Bowl,1
602,Microwave,Bowl,1
603,Ottoman,Bowl,1
604,Safe,Bowl,1
605,Shelf,Bowl,1
606,SideTable,Bowl,1
607,SinkBasin,Bowl,1
608,Sofa,Bowl,1
609,StoveBurner,Bowl,1
610,TVStand,Bowl,1
611,Toilet,Bowl,1
612,AlarmClock,Bowl,1
613,Apple,Bowl,1
614,AppleSliced,Bowl,1
615,BaseballBat,Bowl,1
616,BasketBall,Bowl,1
617,Book,Bowl,1
618,Bowl,Bowl,1
619,Box,Bowl,1
620,Bread,Bowl,1
621,BreadSliced,Bowl,1
622,ButterKnife,Bowl,1
623,CD,Bowl,1
624,Candle,Bowl,1
625,CellPhone,Bowl,1
626,Cloth,Bowl,1
627,CreditCard,Bowl,1
628,Cup,Bowl,1
629,DeskLamp,Bowl,1
630,DishSponge,Bowl,1
631,Egg,Bowl,1
632,Faucet,Bowl,1
633,FloorLamp,Bowl,1
634,Fork,Bowl,1
635,Glassbottle,Bowl,1
636,HandTowel,Bowl,1
637,HousePlant,Bowl,1
638,Kettle,Bowl,1
639,KeyChain,Bowl,1
640,Knife,Bowl,1
641,Ladle,Bowl,1
642,Laptop,Bowl,1
643,LaundryHamperLid,Bowl,1
644,Lettuce,Bowl,1
645,LettuceSliced,Bowl,1
646,LightSwitch,Bowl,1
647,Mug,Bowl,1
648,Newspaper,Bowl,1
649,Pan,Bowl,1
650,PaperTowel,Bowl,1
651,PaperTowelRoll,Bowl,1
652,Pen,Bowl,1
653,Pencil,Bowl,1
654,PepperShaker,Bowl,1
655,Pillow,Bowl,1
656,Plate,Bowl,1
657,Plunger,Bowl,1
658,Pot,Bowl,1
659,Potato,Bowl,1
660,PotatoSliced,Bowl,1
661,RemoteControl,Bowl,1
662,SaltShaker,Bowl,1
663,ScrubBrush,Bowl,1
664,ShowerDoor,Bowl,1
665,SoapBar,Bowl,1
666,SoapBottle,Bowl,1
667,Spatula,Bowl,1
668,Spoon,Bowl,1
669,SprayBottle,Bowl,1
670,Statue,Bowl,1
671,StoveKnob,Bowl,1
672,TeddyBear,Bowl,1
673,Television,Bowl,1
674,TennisRacket,Bowl,1
675,TissueBox,Bowl,1
676,ToiletPaper,Bowl,1
677,ToiletPaperHanger,Bowl,1
678,ToiletPaperRoll,Bowl,1
679,Tomato,Bowl,1
680,TomatoSliced,Bowl,1
681,Towel,Bowl,1
682,Vase,Bowl,1
683,Watch,Bowl,1
684,WateringCan,Bowl,1
685,WineBottle,Bowl,1
686,ArmChair,Box,1
687,BathtubBasin,Box,1
688,Bed,Box,1
689,Cabinet,Box,1
690,Cart,Box,1
691,CoffeeMachine,Box,1
692,CoffeeTable,Box,1
693,CounterTop,Box,1
694,Desk,Box,1
695,DiningTable,Box,1
696,Drawer,Box,1
697,Dresser,Box,1
698,Fridge,Box,1
699,GarbageCan,Box,1
700,Microwave,Box,1
701,Ottoman,Box,1
702,Safe,Box,1
703,Shelf,Box,1
704,SideTable,Box,1
705,SinkBasin,Box,1
706,Sofa,Box,1
707,StoveBurner,Box,1
708,TVStand,Box,1
709,Toilet,Box,1
710,AlarmClock,Box,1
711,Apple,Box,1
712,AppleSliced,Box,1
713,BaseballBat,Box,1
714,BasketBall,Box,1
715,Book,Box,1
716,Bowl,Box,1
717,Box,Box,1
718,Bread,Box,1
719,BreadSliced,Box,1
720,ButterKnife,Box,1
721,CD,Box,1
722,Candle,Box,1
723,CellPhone,Box,1
724,Cloth,Box,1
725,CreditCard,Box,1
726,Cup,Box,1
727,DeskLamp,Box,1
728,DishSponge,Box,1
729,Egg,Box,1
730,Faucet,Box,1
731,FloorLamp,Box,1
732,Fork,Box,1
733,Glassbottle,Box,1
734,HandTowel,Box,1
735,HousePlant,Box,1
736,Kettle,Box,1
737,KeyChain,Box,1
738,Knife,Box,1
739,Ladle,Box,1
740,Laptop,Box,1
741,LaundryHamperLid,Box,1
742,Lettuce,Box,1
743,LettuceSliced,Box,1
744,LightSwitch,Box,1
745,Mug,Box,1
746,Newspaper,Box,1
747,Pan,Box,1
748,PaperTowel,Box,1
749,PaperTowelRoll,Box,1
750,Pen,Box,1
751,Pencil,Box,1
752,PepperShaker,Box,1
753,Pillow,Box,1
754,Plate,Box,1
755,Plunger,Box,1
756,Pot,Box,1
757,Potato,Box,1
758,PotatoSliced,Box,1
759,RemoteControl,Box,1
760,SaltShaker,Box,1
761,ScrubBrush,Box,1
762,ShowerDoor,Box,1
763,SoapBar,Box,1
764,SoapBottle,Box,1
765,Spatula,Box,1
766,Spoon,Box,1
767,SprayBottle,Box,1
768,Statue,Box,1
769,StoveKnob,Box,1
770,TeddyBear,Box,1
771,Television,Box,1
772,TennisRacket,Box,1
773,TissueBox,Box,1
774,ToiletPaper,Box,1
775,ToiletPaperHanger,Box,1
776,ToiletPaperRoll,Box,1
777,Tomato,Box,1
778,TomatoSliced,Box,1
779,Towel,Box,1
780,Vase,Box,1
781,Watch,Box,1
782,WateringCan,Box,1
783,WineBottle,Box,1
784,ArmChair,Bread,1
785,BathtubBasin,Bread,1
786,Bed,Bread,1
787,Cabinet,Bread,1
788,Cart,Bread,1
789,CoffeeMachine,Bread,1
790,CoffeeTable,Bread,1
791,CounterTop,Bread,1
792,Desk,Bread,1
793,DiningTable,Bread,1
794,Drawer,Bread,1
795,Dresser,Bread,1
796,Fridge,Bread,1
797,GarbageCan,Bread,1
798,Microwave,Bread,1
799,Ottoman,Bread,1
800,Safe,Bread,1
801,Shelf,Bread,1
802,SideTable,Bread,1
803,SinkBasin,Bread,1
804,Sofa,Bread,1
805,StoveBurner,Bread,1
806,TVStand,Bread,1
807,Toilet,Bread,1
808,AlarmClock,Bread,1
809,Apple,Bread,1
810,AppleSliced,Bread,1
811,BaseballBat,Bread,1
812,BasketBall,Bread,1
813,Book,Bread,1
814,Bowl,Bread,1
815,Box,Bread,1
816,Bread,Bread,1
817,BreadSliced,Bread,1
818,ButterKnife,Bread,1
819,CD,Bread,1
820,Candle,Bread,1
821,CellPhone,Bread,1
822,Cloth,Bread,1
823,CreditCard,Bread,1
824,Cup,Bread,1
825,DeskLamp,Bread,1
826,DishSponge,Bread,1
827,Egg,Bread,1
828,Faucet,Bread,1
829,FloorLamp,Bread,1
830,Fork,Bread,1
831,Glassbottle,Bread,1
832,HandTowel,Bread,1
833,HousePlant,Bread,1
834,Kettle,Bread,1
835,KeyChain,Bread,1
836,Knife,Bread,1
837,Ladle,Bread,1
838,Laptop,Bread,1
839,LaundryHamperLid,Bread,1
840,Lettuce,Bread,1
841,LettuceSliced,Bread,1
842,LightSwitch,Bread,1
843,Mug,Bread,1
844,Newspaper,Bread,1
845,Pan,Bread,1
846,PaperTowel,Bread,1
847,PaperTowelRoll,Bread,1
848,Pen,Bread,1
849,Pencil,Bread,1
850,PepperShaker,Bread,1
851,Pillow,Bread,1
852,Plate,Bread,1
853,Plunger,Bread,1
854,Pot,Bread,1
855,Potato,Bread,1
856,PotatoSliced,Bread,1
857,RemoteControl,Bread,1
858,SaltShaker,Bread,1
859,ScrubBrush,Bread,1
860,ShowerDoor,Bread,1
861,SoapBar,Bread,1
862,SoapBottle,Bread,1
863,Spatula,Bread,1
864,Spoon,Bread,1
865,SprayBottle,Bread,1
866,Statue,Bread,1
867,StoveKnob,Bread,1
868,TeddyBear,Bread,1
869,Television,Bread,1
870,TennisRacket,Bread,1
871,TissueBox,Bread,1
872,ToiletPaper,Bread,1
873,ToiletPaperHanger,Bread,1
874,ToiletPaperRoll,Bread,1
875,Tomato,Bread,1
876,TomatoSliced,Bread,1
877,Towel,Bread,1
878,Vase,Bread,1
879,Watch,Bread,1
880,WateringCan,Bread,1
881,WineBottle,Bread,1
882,ArmChair,BreadSliced,1
883,BathtubBasin,BreadSliced,1
884,Bed,BreadSliced,1
885,Cabinet,BreadSliced,1
886,Cart,BreadSliced,1
887,CoffeeMachine,BreadSliced,1
888,CoffeeTable,BreadSliced,1
889,CounterTop,BreadSliced,1
890,Desk,BreadSliced,1
891,DiningTable,BreadSliced,1
892,Drawer,BreadSliced,1
893,Dresser,BreadSliced,1
894,Fridge,BreadSliced,1
895,GarbageCan,BreadSliced,1
896,Microwave,BreadSliced,1
897,Ottoman,BreadSliced,1
898,Safe,BreadSliced,1
899,Shelf,BreadSliced,1
900,SideTable,BreadSliced,1
901,SinkBasin,BreadSliced,1
902,Sofa,BreadSliced,1
903,StoveBurner,BreadSliced,1
904,TVStand,BreadSliced,1
905,Toilet,BreadSliced,1
906,AlarmClock,BreadSliced,1
907,Apple,BreadSliced,1
908,AppleSliced,BreadSliced,1
909,BaseballBat,BreadSliced,1
910,BasketBall,BreadSliced,1
911,Book,BreadSliced,1
912,Bowl,BreadSliced,1
913,Box,BreadSliced,1
914,Bread,BreadSliced,1
915,BreadSliced,BreadSliced,1
916,ButterKnife,BreadSliced,1
917,CD,BreadSliced,1
918,Candle,BreadSliced,1
919,CellPhone,BreadSliced,1
920,Cloth,BreadSliced,1
921,CreditCard,BreadSliced,1
922,Cup,BreadSliced,1
923,DeskLamp,BreadSliced,1
924,DishSponge,BreadSliced,1
925,Egg,BreadSliced,1
926,Faucet,BreadSliced,1
927,FloorLamp,BreadSliced,1
928,Fork,BreadSliced,1
929,Glassbottle,BreadSliced,1
